ingest_run_id,ingested_at,source_dataset,source_path,source_rel_path,file_name,file_extension,file_size_bytes,file_modified_at,file_checksum_sha256
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__09_Sept_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__09_Sept_2016.csv,ttc-bus-delay-data-2016__09_Sept_2016.csv,.csv,545688,2026-03-09T00:49:46Z,3e40dae279c44655e47484d7b8a953249ef83bf9d37302503c333492129112bb
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__10_Oct_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__10_Oct_2016.csv,ttc-bus-delay-data-2016__10_Oct_2016.csv,.csv,593994,2026-03-09T00:49:47Z,c251baa25ee7d338ab76611bbb626a1acbfc496888a48610dde33061b99477ae
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__11_Nov_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__11_Nov_2016.csv,ttc-bus-delay-data-2016__11_Nov_2016.csv,.csv,568117,2026-03-09T00:49:47Z,ef0ee40b827dc8a26d06263db250ea2aadeb6a79e4ba03b1d06dcfcf0681cddf
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__12_Dec_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__12_Dec_2016.csv,ttc-bus-delay-data-2016__12_Dec_2016.csv,.csv,537587,2026-03-09T00:49:48Z,5bd413478c08e7113ff379a8972879e4b897fd26e1189703bc17bba2848098b1
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__01_Jan_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__01_Jan_2017.csv,ttc-bus-delay-data-2017__01_Jan_2017.csv,.csv,437177,2026-03-09T00:49:49Z,8c0990d681dd172662526f941790ec17c5f99c7dcb34dffb8460c6883ca8bed1
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__02_Feb_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__02_Feb_2017.csv,ttc-bus-delay-data-2017__02_Feb_2017.csv,.csv,404387,2026-03-09T00:49:49Z,e538f08d2fa41576edb48ac52eec12e30fe7f508874c52902a0891ad44f16c8f
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__03_Mar_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__03_Mar_2017.csv,ttc-bus-delay-data-2017__03_Mar_2017.csv,.csv,389577,2026-03-09T00:49:49Z,f6dcea4404afb6c0ef64f811d6e3f04e894e9d92eb78e696275c688368b48b7a
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__04_Apr_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__04_Apr_2017.csv,ttc-bus-delay-data-2017__04_Apr_2017.csv,.csv,394789,2026-03-09T00:49:50Z,89523b7eb6c6e7dad77f7a63591b834f345e8dead01351259683f1045f17cd95
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__05_May_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__05_May_2017.csv,ttc-bus-delay-data-2017__05_May_2017.csv,.csv,498874,2026-03-09T00:49:50Z,a7a36d09ad0558753e2f6cd8dd0b3ebf6978ce6ba2e3eb635f55f307603d0b37
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__06_Jun_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__06_Jun_2017.csv,ttc-bus-delay-data-2017__06_Jun_2017.csv,.csv,487748,2026-03-09T00:49:51Z,a5d9abb506b587ba7053eade55bf6b7f1880c17d44d3866281691fdf38d0d893
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__07_July_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__07_July_2017.csv,ttc-bus-delay-data-2017__07_July_2017.csv,.csv,445688,2026-03-09T00:49:53Z,7a4120acc130996fa4d1797dd793fb1bffe67bc92f034535ba7f5d598db8b295
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__08_Aug_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__08_Aug_2017.csv,ttc-bus-delay-data-2017__08_Aug_2017.csv,.csv,476667,2026-03-09T00:49:54Z,8cd698ef82c708d515213f40ed6af918e2705386379e85e9bcc81919eb2e59d0
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__09_Sept_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__09_Sept_2017.csv,ttc-bus-delay-data-2017__09_Sept_2017.csv,.csv,509873,2026-03-09T00:49:56Z,63825650c5a52d6f1a36c85573e24bdfaf2f6cf21854b9fd72b65d4ee3fef862
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__10_Oct_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__10_Oct_2017.csv,ttc-bus-delay-data-2017__10_Oct_2017.csv,.csv,537427,2026-03-09T00:49:57Z,53e881c372591dc0c09120c3db9ecb0d1fc0899d301bd868f2f5fd8d841bba84
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__11_Nov_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__11_Nov_2017.csv,ttc-bus-delay-data-2017__11_Nov_2017.csv,.csv,542082,2026-03-09T00:49:58Z,1881aecf6498700a02010a20bb7341a88b756cffb2d8bd7104ed4a4526df4ccb
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__12_Dec_2017.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2017__12_Dec_2017.csv,ttc-bus-delay-data-2017__12_Dec_2017.csv,.csv,540677,2026-03-09T00:49:59Z,213762dd93815ea23f6cb122f50f9d4c044b852923d47d8e237c52ca06c4cb36
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__01_Jan_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__01_Jan_2018.csv,ttc-bus-delay-data-2018__01_Jan_2018.csv,.csv,581683,2026-03-09T00:50:00Z,3ee1e1635b65925e742d9c2a9828c2af8da5842d4f6f0d88801578bc233e028b
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__02_Feb_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__02_Feb_2018.csv,ttc-bus-delay-data-2018__02_Feb_2018.csv,.csv,458016,2026-03-09T00:50:00Z,911953f01038cd297649468bbf44d3d2f9269aee2cadeb76c98e72a563505782
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__03_Mar_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__03_Mar_2018.csv,ttc-bus-delay-data-2018__03_Mar_2018.csv,.csv,458129,2026-03-09T00:50:01Z,7c30e203e8e0814c308279eae42271b52b118b7455a0251ef1bcfc6e35a869e8
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__04_Apr_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__04_Apr_2018.csv,ttc-bus-delay-data-2018__04_Apr_2018.csv,.csv,493940,2026-03-09T00:50:01Z,073bb3b1eef9c61ec170deaffd512815e38c041aeaedbc8a01d70f136e4170bd
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__05_May_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__05_May_2018.csv,ttc-bus-delay-data-2018__05_May_2018.csv,.csv,565897,2026-03-09T00:50:02Z,0ef112e0360a3add94ee924310e0ea8a895eec3831c5fb5c3fd428ac32496549
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__06_June_2018.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2018__06_June_2018.csv,ttc-bus-delay-data-2018__06_June_2018.csv,.csv,508213,2026-03-09T00:50:02Z,c9d38e6891573a08af8b86810dde9e202e55515a3d84421412a36dc6afa04ebe
